cityid,regionid,countryid,countryname,countrycode,Continent,StateProvinceName,cityname,latitude,longitude
624812,519984,182,Romania,RO,Europe,Alba,Pianu de Jos,45.93528,23.48912
624769,519984,182,Romania,RO,Europe,Alba,Poiana Aiudului,46.36499,23.606
624712,519984,182,Romania,RO,Europe,Alba,Razboieni-Cetate,,
624692,519984,182,Romania,RO,Europe,Alba,Rimetea,46.45,23.56667
624677,519984,182,Romania,RO,Europe,Alba,Rosia Montana,,
624643,519984,182,Romania,RO,Europe,Alba,Salistea,,
624562,519984,182,Romania,RO,Europe,Alba,Santamarie,,
624632,519984,182,Romania,RO,Europe,Alba,Sard,,
624625,519984,182,Romania,RO,Europe,Alba,Sasciori,,
624608,519984,182,Romania,RO,Europe,Alba,Sebes,,
624590,519984,182,Romania,RO,Europe,Alba,Sibot,,
624534,519984,182,Romania,RO,Europe,Alba,Sona,,
624528,519984,182,Romania,RO,Europe,Alba,Spring,,
624503,519984,182,Romania,RO,Europe,Alba,Sugag,,
624488,519984,182,Romania,RO,Europe,Alba,Tartaria,,
624476,519984,182,Romania,RO,Europe,Alba,Teius,,
624473,519984,182,Romania,RO,Europe,Alba,Telna,,
624396,519984,182,Romania,RO,Europe,Alba,Unirea,,
624341,519984,182,Romania,RO,Europe,Alba,Vidra,,
624330,519984,182,Romania,RO,Europe,Alba,Vinerea,45.88632,23.35289
706293,519984,182,Romania,RO,Europe,Alba,Vintu de Jos,,
624281,519984,182,Romania,RO,Europe,Alba,Zlatna,,
6754652,2883,182,Romania,RO,Europe,Arad,1 Decembrie,46.35871,27.81176
6759654,2883,182,Romania,RO,Europe,Arad,23 August,45.52303,22.3993
6769561,2883,182,Romania,RO,Europe,Arad,Abram,47.31667,22.38333
6769560,2883,182,Romania,RO,Europe,Arad,Abr?mu?,47.31667,22.25
6769558,2883,182,Romania,RO,Europe,Arad,Abrud,46.27406,23.06339
6769556,2883,182,Romania,RO,Europe,Arad,Abrud-Sat,46.28166,23.06098
6769555,2883,182,Romania,RO,Europe,Arad,Abucea,45.90683,22.54231
6769552,2883,182,Romania,RO,Europe,Arad,Academia,46.35,27.65
6769549,2883,182,Romania,RO,Europe,Arad,Achime?e?ti,46.38501,22.80442
6769544,2883,182,Romania,RO,Europe,Arad,Aciu?a,46.2883,22.45199
6774440,2883,182,Romania,RO,Europe,Arad,Acumularea C?t?m?r??ti,47.79354,26.61849
6768730,2883,182,Romania,RO,Europe,Arad,Ad??eni,48.0692,26.93789
6769541,2883,182,Romania,RO,Europe,Arad,Adam,46.02868,27.73296
6768725,2883,182,Romania,RO,Europe,Arad,Adâncata,47.73333,26.3
6768728,2883,182,Romania,RO,Europe,Arad,Adea,46.55511,21.58433
6768721,2883,182,Romania,RO,Europe,Arad,Adjud,46.1,27.16667
6768720,2883,182,Romania,RO,Europe,Arad,Adjudeni,47.01408,26.94903
6768719,2883,182,Romania,RO,Europe,Arad,Adjudu Vechi,46.13485,27.18891
6768718,2883,182,Romania,RO,Europe,Arad,Adoni,47.43239,22.17582
6794871,2883,182,Romania,RO,Europe,Arad,Ady Endre,47.58333,22.61667
6768704,2883,182,Romania,RO,Europe,Arad,Afuma?i,46.35,27.45
6768701,2883,182,Romania,RO,Europe,Arad,Agafton,47.70909,26.5982
6768700,2883,182,Romania,RO,Europe,Arad,Agapia,47.16667,26.28333
6768689,2883,182,Romania,RO,Europe,Arad,Agârbiciu,46.77021,23.27887
6768687,2883,182,Romania,RO,Europe,Arad,Agârcia,46.92653,26.29523
6768698,2883,182,Romania,RO,Europe,Arad,Ag??,46.48333,26.21667
6768696,2883,182,Romania,RO,Europe,Arad,Ag??tin,46.53333,26.36667
6768695,2883,182,Romania,RO,Europe,Arad,Aghire?,47.16164,23.01764
6768693,2883,182,Romania,RO,Europe,Arad,Aghire?u,46.87209,23.23773
6768691,2883,182,Romania,RO,Europe,Arad,Aghire?u-Fabrici,46.8669,23.27129
6768679,2883,182,Romania,RO,Europe,Arad,Agri?,46.59354,23.52054
6768682,2883,182,Romania,RO,Europe,Arad,Agrij,47.06685,23.09918
6768671,2883,182,Romania,RO,Europe,Arad,Agri?u Mic,46.51667,22.03333
6768672,2883,182,Romania,RO,Europe,Arad,Agri?u Mare,46.27243,21.75558
6768662,2883,182,Romania,RO,Europe,Arad,Alba,48.15859,26.47736
6768660,2883,182,Romania,RO,Europe,Arad,Albac,46.45246,22.95164
6768656,2883,182,Romania,RO,Europe,Arad,Albele,46.36487,26.67338
6768651,2883,182,Romania,RO,Europe,Arad,Albeni,46.46667,26.85
6768641,2883,182,Romania,RO,Europe,Arad,Albe?ti,47.7,27.06667
6768645,2883,182,Romania,RO,Europe,Arad,Albe?ti,46.5,27.86667
6768642,2883,182,Romania,RO,Europe,Arad,Albe?ti,47.18516,27.10494
6768643,2883,182,Romania,RO,Europe,Arad,Albe?ti,46.77085,22.25076
6768644,2883,182,Romania,RO,Europe,Arad,Albe?ti,46.69613,27.55285
6768172,2883,182,Romania,RO,Europe,Arad,Albi?,47.39024,22.24528
6768171,2883,182,Romania,RO,Europe,Arad,Albi?a,46.79748,28.14519
6768175,2883,182,Romania,RO,Europe,Arad,Albina,45.7148,21.37538
6768170,2883,182,Romania,RO,Europe,Arad,Albote?ti,46.46667,26.48333
6768168,2883,182,Romania,RO,Europe,Arad,Ald?ma?,46.55,26.08333
6768164,2883,182,Romania,RO,Europe,Arad,Alde?ti,46.78333,26.86667
6768165,2883,182,Romania,RO,Europe,Arad,Alde?ti,46.39463,22.0417
6768166,2883,182,Romania,RO,Europe,Arad,Alde?ti,46.1321,27.91453
6768162,2883,182,Romania,RO,Europe,Arad,Ale?d,47.06667,22.41667
6768158,2883,182,Romania,RO,Europe,Arad,Aleu?,47.14699,22.63096
6768156,2883,182,Romania,RO,Europe,Arad,Alexandrina,46.4,26.88333
6795269,2883,182,Romania,RO,Europe,Arad,Alexandru Cel Bun,46.93988,26.26849
6768151,2883,182,Romania,RO,Europe,Arad,Alexandru I. Cuza,47.13333,26.85
6768149,2883,182,Romania,RO,Europe,Arad,Alexandru Vl?hu??,46.41667,27.63333
6768145,2883,182,Romania,RO,Europe,Arad,Alexeni,46.97008,27.3686
6768142,2883,182,Romania,RO,Europe,Arad,Alexe?ti,46.87747,27.4446
6768136,2883,182,Romania,RO,Europe,Arad,Alio?,46.0379,21.49291
6768131,2883,182,Romania,RO,Europe,Arad,Alma?,47.00935,26.34432
6768132,2883,182,Romania,RO,Europe,Arad,Alma?,46.28333,22.23333
6768129,2883,182,Romania,RO,Europe,Arad,Alma?,47.26667,22.13333
6768126,2883,182,Romania,RO,Europe,Arad,Alma?-S?li?te,46.06015,22.52216
6768127,2883,182,Romania,RO,Europe,Arad,Alm??el,46.08333,22.43333
6768124,2883,182,Romania,RO,Europe,Arad,Alma?u,45.81667,22.95
6768125,2883,182,Romania,RO,Europe,Arad,Alma?u,46.94546,23.12965
6768119,2883,182,Romania,RO,Europe,Arad,Alma?u Mare,46.11014,23.11721
6768121,2883,182,Romania,RO,Europe,Arad,Alma?ul,47,26.45
6768112,2883,182,Romania,RO,Europe,Arad,Alma?u-Sec,45.85,22.86667
6768122,2883,182,Romania,RO,Europe,Arad,Alma?u de Mijloc,46.06693,23.10654
6768118,2883,182,Romania,RO,Europe,Arad,Alma?u Mare,47.32817,22.53285
6768114,2883,182,Romania,RO,Europe,Arad,Alma?u Mic,47.31728,22.51032
6768115,2883,182,Romania,RO,Europe,Arad,Alma?u Mic,47.17131,22.13518
6768116,2883,182,Romania,RO,Europe,Arad,Alma?u Mic,45.81859,22.89483
6768113,2883,182,Romania,RO,Europe,Arad,Alma?u Mic de Munte,46.0563,23.08131
6768110,2883,182,Romania,RO,Europe,Arad,Alparea,47.03054,22.04812
6768106,2883,182,Romania,RO,Europe,Arad,Altringen,45.98241,21.55495
6768105,2883,182,Romania,RO,Europe,Arad,Alun,45.70753,22.6875
6808722,2883,182,Romania,RO,Europe,Arad,Aluni?,46.09351,21.48926
6768091,2883,182,Romania,RO,Europe,Arad,Aluni?ul,47.88333,26.26667
6768093,2883,182,Romania,RO,Europe,Arad,Aluni?u,46.83209,22.94319
6767372,2883,182,Romania,RO,Europe,Arad,Ambru,46.38333,23.28333
6767368,2883,182,Romania,RO,Europe,Arad,Ampoi?a,46.11761,23.45011
6767366,2883,182,Romania,RO,Europe,Arad,Andacs,46.81667,21.7
6767357,2883,182,Romania,RO,Europe,Arad,Andrei ?aguna,46.2881,21.39175
6767355,2883,182,Romania,RO,Europe,Arad,Andrica,45.86667,21.56667
6767354,2883,182,Romania,RO,Europe,Arad,Andrid,47.51667,22.35
6767352,2883,182,Romania,RO,Europe,Arad,Andrie?eni,47.53333,27.28333
6767350,2883,182,Romania,RO,Europe,Arad,Andrie?e?ti,46.63333,26.83333
6807058,2883,182,Romania,RO,Europe,Arad,Angellis,45.77,21.235
6767342,2883,182,Romania,RO,Europe,Arad,Anghele?ti,46.24552,23.09805
6767343,2883,182,Romania,RO,Europe,Arad,Anghele?ti,46.07875,27.06459
6767340,2883,182,Romania,RO,Europe,Arad,Anghelu?a,46.33333,27.5
6770350,2883,182,Romania,RO,Europe,Arad,?anovi?a,45.79811,21.73048
6767329,2883,182,Romania,RO,Europe,Arad,Ant,46.66635,21.46755
6767327,2883,182,Romania,RO,Europe,Arad,Antoceni,47.33272,26.47642
6767325,2883,182,Romania,RO,Europe,Arad,Antohe?ti,46.55099,27.24502
6767323,2883,182,Romania,RO,Europe,Arad,Antone?ti,46.56667,25.96667
6767319,2883,182,Romania,RO,Europe,Arad,Apa As?u,46.49682,26.37373
6751443,2883,182,Romania,RO,Europe,Arad,Apa Gr?di?tei,45.88333,23.18333
6767318,2883,182,Romania,RO,Europe,Arad,Apadia,45.39023,22.04816
6807622,2883,182,Romania,RO,Europe,Arad,Aparthotel Iosefin Residence,45.74671,21.21607
6767312,2883,182,Romania,RO,Europe,Arad,Apateu,46.61667,21.78333
6767298,2883,182,Romania,RO,Europe,Arad,Aprodu Purice,47.26667,26.41667
6774029,2883,182,Romania,RO,Europe,Arad,Apuseni Mountains,46.49792,23.03421
6767295,2883,182,Romania,RO,Europe,Arad,Arad,46.18333,21.31667
6770133,2883,182,Romania,RO,Europe,Arad,Arad Airport,46.17655,21.26202
6802791,2883,182,Romania,RO,Europe,Arad,Arad Central Station,46.1896,21.32528
6767293,2883,182,Romania,RO,Europe,Arad,Arada,46.5,22.95
6767292,2883,182,Romania,RO,Europe,Arad,Aradu Nou,46.14678,21.32429
6758191,2883,182,Romania,RO,Europe,Arad,??r??el,46.12261,22.81995
6767291,2883,182,Romania,RO,Europe,Arad,Arama,47.39829,27.11438
6767288,2883,182,Romania,RO,Europe,Arad,Ar?me?ti-Boere?ti,46.76667,26.81667
6767287,2883,182,Romania,RO,Europe,Arad,Ar?me?ti-R?ze?i,46.76667,26.81667
6767289,2883,182,Romania,RO,Europe,Arad,Ar?me?ti,46.77911,26.81809
6766321,2883,182,Romania,RO,Europe,Arad,Ar?moaia,47.07248,26.61985
6766320,2883,182,Romania,RO,Europe,Arad,Ar?neag,46.25294,21.77798
6758192,2883,182,Romania,RO,Europe,Arad,??r?ne?ti,46.40256,23.12022
6766319,2883,182,Romania,RO,Europe,Arad,Ar?nie?,45.79493,22.7393
6766227,2883,182,Romania,RO,Europe,Arad,Ar?ari,47.76302,26.31859
6766318,2883,182,Romania,RO,Europe,Arad,Arbore,47.73333,25.93333
6766316,2883,182,Romania,RO,Europe,Arad,Arborea,48.0514,26.52013
6766311,2883,182,Romania,RO,Europe,Arad,Archia,45.84408,22.8989
6807844,2883,182,Romania,RO,Europe,Arad,Archia Mansion Boutique Hotel,45.84453,22.89763
6766308,2883,182,Romania,RO,Europe,Arad,Archi?,46.48333,22.05
6766300,2883,182,Romania,RO,Europe,Arad,Ardelu?a,46.72618,26.19655
6766299,2883,182,Romania,RO,Europe,Arad,Ardeoani,46.53333,26.6
6766297,2883,182,Romania,RO,Europe,Arad,Ardeova,46.79553,23.10717
6766296,2883,182,Romania,RO,Europe,Arad,Ardeu,46.02234,23.14507
6769934,2883,182,Romania,RO,Europe,Arad,?ardu,46.86159,23.39171
6766288,2883,182,Romania,RO,Europe,Arad,Argea,46.04347,27.26158
6766283,2883,182,Romania,RO,Europe,Arad,Arghira,47.45412,26.4725
6766282,2883,182,Romania,RO,Europe,Arad,Arghi?u,46.93653,23.24123
6766238,2883,182,Romania,RO,Europe,Arad,Ar?i?a,46.55999,27.62573
6766272,2883,182,Romania,RO,Europe,Arad,Arie?eni,46.47641,22.75741
6766267,2883,182,Romania,RO,Europe,Arad,Arie?ul Mare,46.36667,23.01667
6766266,2883,182,Romania,RO,Europe,Arad,Arie?ul Mic,46.36667,23.01667
6758169,2883,182,Romania,RO,Europe,Arad,?arina,46.3133,23.12557
6766264,2883,182,Romania,RO,Europe,Arad,Arini,47.51667,26.63333
6766259,2883,182,Romania,RO,Europe,Arad,Arm?dia,45.68333,21.98333
6766256,2883,182,Romania,RO,Europe,Arad,Arm??eni,46.84517,27.2517
6766257,2883,182,Romania,RO,Europe,Arad,Arm??eni,46.80638,27.98122
6766252,2883,182,Romania,RO,Europe,Arad,Arm??oaia,46.68831,27.38409
6758166,2883,182,Romania,RO,Europe,Arad,??rmure,46.24617,22.55914
6757644,2883,182,Romania,RO,Europe,Arad,??rmure,47.35353,22.75743
6757643,2883,182,Romania,RO,Europe,Arad,?arna Mare,47.47271,26.32763
6766247,2883,182,Romania,RO,Europe,Arad,Aroneanu,47.2,27.6
6766248,2883,182,Romania,RO,Europe,Arad,Arone?ti,46.43648,23.12666
6766244,2883,182,Romania,RO,Europe,Arad,Arp??el,46.73863,21.71968
6808523,2883,182,Romania,RO,Europe,Arad,Arsura,45.99838,26.58707
6807897,2883,182,Romania,RO,Europe,Arad,Arta Hotel,45.77144,21.28262
6769896,2883,182,Romania,RO,Europe,Arad,?asa,46.32457,23.20775
6765323,2883,182,Romania,RO,Europe,Arad,As?u,46.43333,26.4
6765325,2883,182,Romania,RO,Europe,Arad,As?u,46.44301,26.40036
6765321,2883,182,Romania,RO,Europe,Arad,As?ul Mare,46.65,26.25
6765313,2883,182,Romania,RO,Europe,Arad,Aslane?ti,46.3,22.75
6765311,2883,182,Romania,RO,Europe,Arad,A?tileu,47.03333,22.38333
6807616,2883,182,Romania,RO,Europe,Arad,Astoria Hotel,47.16794,27.57826
6765303,2883,182,Romania,RO,Europe,Arad,Atea?,46.91792,21.61769
6807626,2883,182,Romania,RO,Europe,Arad,Atrium,47.06216,21.93773
6769295,2883,182,Romania,RO,Europe,Arad,?auaieu,46.93779,21.92473
6765292,2883,182,Romania,RO,Europe,Arad,Audia,47.06667,26.05
6757584,2883,182,Romania,RO,Europe,Arad,??udu,46.98314,23.05282
6769285,2883,182,Romania,RO,Europe,Arad,?aula,46.85182,23.07559
6769284,2883,182,Romania,RO,Europe,Arad,??ule?ti,45.86531,22.98826
6765291,2883,182,Romania,RO,Europe,Arad,Aurel Vlaicu,45.9103,23.27801
6807881,2883,182,Romania,RO,Europe,Arad,Aurelia Hotel,45.69648,21.1794
6765288,2883,182,Romania,RO,Europe,Arad,Au?eu,47.03333,22.5
6807629,2883,182,Romania,RO,Europe,Arad,Avalon Rooms,47.05676,21.92075
6765285,2883,182,Romania,RO,Europe,Arad,Avântu,47.2574,27.3686
6765286,2883,182,Romania,RO,Europe,Arad,Avere?ti,46.8733,27.03965
6765287,2883,182,Romania,RO,Europe,Arad,Avere?ti,46.78786,27.9922
6808725,2883,182,Romania,RO,Europe,Arad,Avram Iancu,46.35217,22.454
6765284,2883,182,Romania,RO,Europe,Arad,Avr?meni,48.01667,26.95
6765278,2883,182,Romania,RO,Europe,Arad,Avr?me?ti,46.55091,27.36403
6765280,2883,182,Romania,RO,Europe,Arad,Avr?me?ti,46.47978,22.74553
6765281,2883,182,Romania,RO,Europe,Arad,Avr?me?ti,46.39143,22.82383
6765242,2883,182,Romania,RO,Europe,Arad,Bab?a,45.80893,21.79006
6765262,2883,182,Romania,RO,Europe,Arad,Baba,46.50256,22.96523
6765248,2883,182,Romania,RO,Europe,Arad,B?biceni,47.75436,27.07458
6765244,2883,182,Romania,RO,Europe,Arad,B?biu,46.94703,23.06323
6765239,2883,182,Romania,RO,Europe,Arad,B?bu?a,46.60969,27.35521
6765240,2883,182,Romania,RO,Europe,Arad,B?bu?a,46.80872,27.2273
6764776,2883,182,Romania,RO,Europe,Arad,B?câia,46.01667,23.18333
6764796,2883,182,Romania,RO,Europe,Arad,B?c?in?i,45.94218,23.28322
6764794,2883,182,Romania,RO,Europe,Arad,B?cani,46.33333,27.66667
6764791,2883,182,Romania,RO,Europe,Arad,B?c?oani,46.58405,27.78091
6764789,2883,182,Romania,RO,Europe,Arad,Bac?u,46.41667,26.83333
6764790,2883,182,Romania,RO,Europe,Arad,Bac?u,46.56718,26.91384
6770134,2883,182,Romania,RO,Europe,Arad,"Bac?u ""George Enescu"" International Airport",46.52195,26.91028
6764788,2883,182,Romania,RO,Europe,Arad,Bac?u de Mijloc,45.97723,22.09809
6774448,2883,182,Romania,RO,Europe,Arad,Bac?u Emergency Hospital,46.55634,26.91022
6773245,2883,182,Romania,RO,Europe,Arad,Bac?u TV Tower,46.60511,26.92912
6764784,2883,182,Romania,RO,Europe,Arad,Bacea,45.96021,22.66923
6764780,2883,182,Romania,RO,Europe,Arad,B?ce?ti,46.85,27.23333
6764781,2883,182,Romania,RO,Europe,Arad,B?ce?ti,46.38333,22.93333
6764778,2883,182,Romania,RO,Europe,Arad,B?cia,45.8,23.01667
6764775,2883,182,Romania,RO,Europe,Arad,B?cioiu,46.31431,27.15745
6761081,2883,182,Romania,RO,Europe,Arad,Bâcle?ti,46.35,27.43333
6764769,2883,182,Romania,RO,Europe,Arad,Bacova,45.6641,21.55238
6761079,2883,182,Romania,RO,Europe,Arad,Bâcu,46.92424,27.45976
6764768,2883,182,Romania,RO,Europe,Arad,B?d?cin,47.25595,22.85456
6764766,2883,182,Romania,RO,Europe,Arad,B?d?i,46.3,22.88333
6764767,2883,182,Romania,RO,Europe,Arad,B?d?i,46.40849,22.75576
6764765,2883,182,Romania,RO,Europe,Arad,B?d?r?i,47.59007,27.38197
6763915,2883,182,Romania,RO,Europe,Arad,B?deana,46.15,27.58333
6764761,2883,182,Romania,RO,Europe,Arad,B?deni,47.40581,26.94898
6764757,2883,182,Romania,RO,Europe,Arad,B?deu?i,47.80277,25.98387
6761076,2883,182,Romania,RO,Europe,Arad,Bâdili?a,47.31667,26.78333
6764754,2883,182,Romania,RO,Europe,Arad,B?diu?i,47.78355,27.20876
6764751,2883,182,Romania,RO,Europe,Arad,Badragi,47.87919,26.16578
6762297,2883,182,Romania,RO,Europe,Arad,Ba?eu,48.1406,26.49586
6764745,2883,182,Romania,RO,Europe,Arad,B?gara,46.86414,23.30408
6764742,2883,182,Romania,RO,Europe,Arad,Bag?u,46.55,27.91667
6764741,2883,182,Romania,RO,Europe,Arad,Bahlui,47.13333,27.73333
6764740,2883,182,Romania,RO,Europe,Arad,Bahluiu,47.35834,26.98538
6764739,2883,182,Romania,RO,Europe,Arad,Bahna,46.22618,26.65047
6764734,2883,182,Romania,RO,Europe,Arad,Bahna Arin,47.48855,26.44402
6764737,2883,182,Romania,RO,Europe,Arad,Bahna Mare,46.96674,26.60571
6764732,2883,182,Romania,RO,Europe,Arad,B?hn??eni,46.57253,26.58184
6764733,2883,182,Romania,RO,Europe,Arad,Bahnari,46.64119,27.79905
6764728,2883,182,Romania,RO,Europe,Arad,B?hni?oara,46.75957,26.79137
6764727,2883,182,Romania,RO,Europe,Arad,B?i,46.33636,22.91594
6764726,2883,182,Romania,RO,Europe,Arad,Baia,46.09075,22.17463
6764505,2883,182,Romania,RO,Europe,Arad,B?i?a,46.48155,22.58527
6764722,2883,182,Romania,RO,Europe,Arad,Baia Craiului,45.68333,22.81667
6764721,2883,182,Romania,RO,Europe,Arad,Baia de Arie?,46.38045,23.28115
6764719,2883,182,Romania,RO,Europe,Arad,Baia de Cri?,46.16667,22.71667
6764715,2883,182,Romania,RO,Europe,Arad,Baia de Petrol,46.55,26.51667
6764500,2883,182,Romania,RO,Europe,Arad,B?i?a-Plai,46.48596,22.62204
6764707,2883,182,Romania,RO,Europe,Arad,B?icani-Deal,46.31667,27.38333
6764706,2883,182,Romania,RO,Europe,Arad,B?icani-Vale,46.31667,27.38333
6764704,2883,182,Romania,RO,Europe,Arad,B?iceni,47.69315,26.65799
6764705,2883,182,Romania,RO,Europe,Arad,B?iceni,47.31341,26.91139
6808777,2883,182,Romania,RO,Europe,Arad,B?iceni,47.29903,26.92643
6764513,2883,182,Romania,RO,Europe,Arad,B?i?e?ti,47.48024,26.11115
6764517,2883,182,Romania,RO,Europe,Arad,B?ile 1 Mai,46.98333,21.98333
6759057,2883,182,Romania,RO,Europe,Arad,B?ile Drânceni,46.81361,28.10083
6764523,2883,182,Romania,RO,Europe,Arad,B?ile Felix,46.98995,21.9821
6764520,2883,182,Romania,RO,Europe,Arad,B?ile Lipova,46.06667,21.7
6764516,2883,182,Romania,RO,Europe,Arad,B?imac,46.62501,27.2155
6764515,2883,182,Romania,RO,Europe,Arad,Baine?,47.96737,25.94496
6764514,2883,182,Romania,RO,Europe,Arad,Baisa,47.72495,26.56796
6764512,2883,182,Romania,RO,Europe,Arad,B?i?oara,46.58333,23.46667
6764509,2883,182,Romania,RO,Europe,Arad,B?i?a,46.03333,22.9
6764510,2883,182,Romania,RO,Europe,Arad,B?i?a,46.68333,22.6
6764495,2883,182,Romania,RO,Europe,Arad,Bajura,48.20119,26.53987
6763957,2883,182,Romania,RO,Europe,Arad,Bal?,47.29628,26.97856
6764491,2883,182,Romania,RO,Europe,Arad,B?l?b?ne?ti,46.09546,27.72206
6764488,2883,182,Romania,RO,Europe,Arad,B?l?ceana,47.64338,26.04764
6764482,2883,182,Romania,RO,Europe,Arad,B?lacia,46.18333,22.5
6763933,2883,182,Romania,RO,Europe,Arad,B?l?a?i,46.69911,27.9002
6764476,2883,182,Romania,RO,Europe,Arad,B?laia,47.10809,22.17198
6764477,2883,182,Romania,RO,Europe,Arad,B?laia,46.57485,27.18895
6764469,2883,182,Romania,RO,Europe,Arad,B?lana,45.68333,22.83333
6764466,2883,182,Romania,RO,Europe,Arad,B?l?neasa,46.38333,26.71667
6764467,2883,182,Romania,RO,Europe,Arad,B?l?neasa,46.38938,26.73313
6764459,2883,182,Romania,RO,Europe,Arad,B?l?ne?ti,46.9483,26.63735
6764460,2883,182,Romania,RO,Europe,Arad,B?l?ne?ti,46.33433,27.32415
6764461,2883,182,Romania,RO,Europe,Arad,B?l?ne?ti,46.19771,27.36224
6764452,2883,182,Romania,RO,Europe,Arad,B?lanu,46.8,26.51667
6764448,2883,182,Romania,RO,Europe,Arad,B?l??e?ti,46.1,27.66667
6764445,2883,182,Romania,RO,Europe,Arad,B?lata,45.91828,22.92902
6763908,2883,182,Romania,RO,Europe,Arad,B?l?ata,46.48915,26.86975
6764442,2883,182,Romania,RO,Europe,Arad,Balc,47.28333,22.53333
6760773,2883,182,Romania,RO,Europe,Arad,Bâlc,46.40314,22.59456
6760772,2883,182,Romania,RO,Europe,Arad,Bâlca,46.13649,26.97543
6764440,2883,182,Romania,RO,Europe,Arad,Balcani,46.63333,26.55
6764438,2883,182,Romania,RO,Europe,Arad,Balcani Marginea,46.63333,26.55
6764437,2883,182,Romania,RO,Europe,Arad,B?lc?u?i,47.89149,26.07279
6764433,2883,182,Romania,RO,Europe,Arad,B?lce?ti,46.77187,23.19374
6764434,2883,182,Romania,RO,Europe,Arad,B?lce?ti,46.67428,23.00232
6764432,2883,182,Romania,RO,Europe,Arad,Balciu,47.14068,27.53078
6764431,2883,182,Romania,RO,Europe,Arad,B?lcu?a,46.18333,27.05
6763990,2883,182,Romania,RO,Europe,Arad,Baldovin,46.20925,22.71815
6763987,2883,182,Romania,RO,Europe,Arad,B?leni,46.60933,22.3993
6763981,2883,182,Romania,RO,Europe,Arad,B?le?ti,46.71237,27.52865
6761766,2883,182,Romania,RO,Europe,Arad,B?le?ti,46.42879,23.09408
6763979,2883,182,Romania,RO,Europe,Arad,B?le?ti-C?tun,46.42027,23.09624
6763976,2883,182,Romania,RO,Europe,Arad,B?line?ti,47.89958,26.17755
6763972,2883,182,Romania,RO,Europe,Arad,Balin?i,48.04963,26.69546
6763975,2883,182,Romania,RO,Europe,Arad,Balin?,45.8125,21.85361
6763973,2883,182,Romania,RO,Europe,Arad,Balinte?ti,46.02937,27.92201
6763971,2883,182,Romania,RO,Europe,Arad,Balin?u Nou,45.81667,21.88333
6763970,2883,182,Romania,RO,Europe,Arad,B?lite?ti,46.28333,22.73333
6763969,2883,182,Romania,RO,Europe,Arad,B?lmo?e?ti,46.30561,23.09409
6763968,2883,182,Romania,RO,Europe,Arad,B?lnaca,46.94384,22.57206
6764468,2883,182,Romania,RO,Europe,Arad,B?lnaca-Gro?i,46.91906,22.54911
6763964,2883,182,Romania,RO,Europe,Arad,Balo?e?ti,45.78248,22.29114
6763966,2883,182,Romania,RO,Europe,Arad,Balomire?ti,47.03333,27.03333
6763959,2883,182,Romania,RO,Europe,Arad,Balote?ti,46.40223,27.31385
6763955,2883,182,Romania,RO,Europe,Arad,Bal?a,46.03333,23.11667
6763953,2883,182,Romania,RO,Europe,Arad,Balta,46.63333,23.28333
